STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
"Arunachal Pradesh","Dibang Valley",PMGSY-II,9,0,9,0,0,0,51.81,46.95383,51.81,46.6464,0
"Arunachal Pradesh","Dibang Valley",PMGSY-III,3,3,0,0,3,3,26.2,47.3487,0,3.851,26.2
"Arunachal Pradesh",Kamale,PMGSY-II,3,0,3,0,0,0,29.5,28.0793,29,28.2116,0
"Arunachal Pradesh","Kra Daadi",PMGSY-II,2,0,2,0,0,0,11,10.6034,11,11.3703,0
"Arunachal Pradesh","Lepa Rada",PMGSY-II,6,0,6,0,0,0,21.5,20.5254,21.3,18.9872,0
"Arunachal Pradesh","Lepa Rada",PMGSY-III,3,0,0,0,3,0,33.8,33.7404,0,5.5442,33.8
"Arunachal Pradesh",Namsai,PMGSY-II,6,0,6,0,0,0,20.17,7.8604,20.17,7.5789,0
"Arunachal Pradesh","Pakke kessang",PMGSY-I,16,3,16,3,0,0,184.28,123.1649,184.28,120.0708,0
"Arunachal Pradesh","Papum Pare",PMGSY-I,86,26,86,26,0,0,761.99,634.5073,755.51,663.7729,0
"Arunachal Pradesh","Shi Yomi",PMGSY-I,24,2,22,1,2,1,218.71,195.3334,169.12,151.8978,49.59
"Arunachal Pradesh","Shi Yomi",PMGSY-II,1,0,1,0,0,0,7.18,3.7164,5.295,3.0357,0
"Arunachal Pradesh",Siang,PMGSY-II,2,0,2,0,0,0,28.22,22.8833,28.22,15.9772,0
"Arunachal Pradesh",Tawang,PMGSY-III,6,0,0,0,6,0,37.62,37.9503,0,0,37.62
"Arunachal Pradesh","Upper Siang",PMGSY-I,45,17,42,11,3,6,547.941,412.68226,512.795,398.5635,29.951
"Arunachal Pradesh","West Siang",PMGSY-I,58,6,57,6,1,0,417.79,264.6555,399.43,259.4751,18.5
"Arunachal Pradesh","West Siang",PMGSY-II,4,0,4,0,0,0,21.05,17.2134,21.05,16.0836,0
Assam,Bongaigaon,PMGSY-I,214,39,214,39,0,0,624.338,417.70806,624.08,434.6341,0
Assam,Cachar,PMGSY-III,35,5,26,2,9,3,185.869,137.10955,157.583,105.6331,28.26
Assam,Chirang,PMGSY-II,4,4,4,4,0,0,25.065,24.2265,25.065,24.7633,0
Assam,Golaghat,PMGSY-II,9,0,9,0,0,0,88.092,59.8113,88.092,63.1976,0
Assam,Hailakandi,PMGSY-I,111,7,111,7,0,0,387.395,272.3226,380.831,302.6537,0
Assam,Jorhat,PMGSY-II,10,1,10,1,0,0,61.25,53.6937,61.25,56.4897,0
Assam,"Kamrup Rural",PMGSY-III,52,4,46,0,6,4,287.544,270.68111,262.113,240.502,25.344
Assam,"Karbi Anglong",PMGSY-III,19,3,4,0,15,3,113.387,66.53463,36.52,25.3836,76.867
Assam,Lakhimpur,PMGSY-III,26,3,15,1,11,2,154.389,95.26334,118.46,60.0812,35.869
Assam,Morigaon,PMGSY-I,260,14,260,14,0,0,799.111,549.8745,797.745,575.0967,0
Assam,Nalbari,PMGSY-III,37,1,30,0,7,1,208.322,154.83533,179.09,123.1534,29.232
Assam,Nowgaon,PMGSY-II,18,5,17,5,1,0,134.856,93.0606,130.453,85.259,0.05
Assam,Sibsagar,PMGSY-II,19,3,17,3,2,0,109.877,78.8188,109.227,76.4911,0.1
Bihar,Arwal,PMGSY-III,9,4,5,1,4,3,74.283,60.09925,47.491,24.9983,25.051
Bihar,Banka,RCPLWEA,11,16,11,16,0,0,183.075,272.19727,181.293,217.3813,0
Bihar,Begusarai,PMGSY-III,24,20,9,8,15,12,177.046,192.54704,114.902,113.4876,57.346
Bihar,Bhojpur,PMGSY-I,386,4,381,4,5,0,1106.624,566.29681,1060.341,500.85,17.796
Bihar,Darbhanga,PMGSY-I,471,31,463,30,8,1,1521.72,984.1863,1241.698,611.2189,2.986
Bihar,"East Champaran",PMGSY-I,792,61,790,61,2,0,2623.997,1557.40758,2486.37,1420.4933,4.306
Bihar,"East Champaran",PMGSY-III,35,20,27,0,8,20,264.603,274.35575,216.265,198.6668,46.659
Bihar,Gaya,PMGSY-I,1171,54,1146,52,25,2,3031.293,1425.8857,2922.406,1259.0626,79.142
Bihar,Gaya,RCPLWEA,26,8,20,4,6,4,290.228,299.64982,250.194,229.4263,35.1
Bihar,Katihar,PMGSY-I,378,52,374,44,4,8,1363.269,803.89291,1312.976,766.2837,2.065
Bihar,Katihar,PMGSY-II,8,2,8,2,0,0,77.1,38.80552,75.81,39.6028,0
Bihar,Lakhisarai,RCPLWEA,1,0,1,0,0,0,16.415,14.40069,16.415,10.7907,0
Bihar,Madhepura,PMGSY-I,238,18,235,18,3,0,784.482,503.51779,754.106,434.979,2.025
Bihar,Munger,PMGSY-III,3,0,3,0,0,0,21.864,16.2629,21.864,10.0935,0
Bihar,Nalanda,PMGSY-I,431,9,430,9,1,0,1285.064,563.77684,1264.156,510.2857,0.9
Bihar,Saharsa,PMGSY-II,4,0,4,0,0,0,27.07,20.56356,27.07,19.5607,0
Bihar,Saharsa,PMGSY-III,8,12,3,6,5,6,77.25,94.53203,36.37,63.7039,39.95
Bihar,Samastipur,PMGSY-I,671,8,665,7,6,1,1881.119,959.91127,1839.759,604.2389,12.365
Bihar,Samastipur,PMGSY-III,18,10,16,2,2,8,152.698,136.16185,127.631,119.3138,21.756
Bihar,Sheikhpura,PMGSY-III,1,0,1,0,0,0,5.035,2.85845,4.97,2.4786,0
Bihar,Sheohar,PMGSY-III,8,7,6,7,2,0,57.295,61.70031,51.682,51.3963,1.93
Bihar,Siwan,PMGSY-II,14,0,14,0,0,0,77.452,36.19232,77.254,34.9717,0
Bihar,Vaishali,PMGSY-I,496,9,496,8,0,1,1580.714,754.27234,1521.695,671.834,0
Bihar,Vaishali,PMGSY-III,26,6,21,0,5,6,192.741,150.87491,174.683,115.705,17.571
Chhattisgarh,Balod,PMGSY-II,11,0,11,0,0,0,121.875,82.0187,120.9,85.5599,0
Chhattisgarh,Balrampur,PMGSY-I,310,36,309,36,1,0,1695.565,540.0147,1538.044,606.9973,13.78
Chhattisgarh,Bemetra,PMGSY-III,21,5,21,2,0,3,148.44,116.25624,149.15,93.3613,0
Chhattisgarh,Bijapur,PMGSY-II,1,0,1,0,0,0,41.35,35.9525,25,39.6026,0
Chhattisgarh,Bilaspur,PMGSY-I,207,0,207,0,0,0,820.69,229.0845,778.95,206.3789,0
Chhattisgarh,Bilaspur,PMGSY-III,29,6,29,3,0,3,251.22,207.37962,251.22,180.2608,0
Chhattisgarh,Dhamtari,PMGSY-I,229,33,229,33,0,0,835.261,263.73067,789.978,255.4,0
Chhattisgarh,Dhamtari,PMGSY-III,18,0,18,0,0,0,150.432,85.8768,150.432,79.6452,0
Chhattisgarh,Dhamtari,PM-JANMAN,36,0,0,0,36,0,84.532,43.3605,0,0,84.532
Chhattisgarh,"Gaurella Pendra Marwahi",PMGSY-III,11,0,11,0,0,0,102.4,44.82817,102.4,42.662,0
Chhattisgarh,Jashpur,PMGSY-III,27,10,27,4,0,6,317.848,247.41536,315.033,196.8266,0
Chhattisgarh,Kondagaon,PMGSY-II,2,0,2,0,0,0,42.48,18.5461,42.48,23.4224,0
Chhattisgarh,Korba,PMGSY-II,9,0,9,0,0,0,113.93,79.16499,113.43,68.9137,0
Chhattisgarh,Korba,PMGSY-III,25,5,25,3,0,2,270.065,172.543,271.085,142.8609,0
Chhattisgarh,Mahasamund,PMGSY-II,6,0,6,0,0,0,90.57,54.0913,87.657,50.9777,0
Chhattisgarh,Narayanpur,PMGSY-II,1,0,1,0,0,0,5.5,3.4768,5.5,3.8081,0
Chhattisgarh,Raipur,PMGSY-I,85,1,85,1,0,0,371.155,114.48731,353.042,104.6007,0
Chhattisgarh,Rajnandgaon,RCPLWEA,54,22,48,5,6,17,415.825,308.05882,374.054,217.786,32.6
Chhattisgarh,Sukma,PMGSY-III,6,0,6,0,0,0,77.05,42.1025,76.35,32.5968,0
Chhattisgarh,Surguja,PMGSY-III,16,4,16,2,0,2,184.854,108.7031,183.049,90.715,0
Gujarat,Ahmedabad,PMGSY-I,113,3,113,3,0,0,376.194,86.3174,376.192,84.6569,0
Gujarat,Anand,PMGSY-I,245,0,245,0,0,0,523.83,103.4697,524.25,108.0646,0
Gujarat,Anand,PMGSY-III,9,4,9,0,0,4,87.41,53.87667,86.78,30.7055,0
Gujarat,Arvalli,PMGSY-III,9,15,7,0,2,15,105.14,127.47171,98.22,62.1252,6.92
Gujarat,Bharuch,PMGSY-III,8,1,5,0,3,1,84.667,53.37982,56.812,39.3225,25.947
Gujarat,Chhotaudepur,PMGSY-III,7,5,7,0,0,5,74.244,62.5979,73.63,46.2129,0
Gujarat,Dahod,PMGSY-III,13,9,12,0,1,9,161.486,137.00261,148.926,89.512,12
Gujarat,"Devbhumi Dwarka",PMGSY-I,36,6,36,6,0,0,130.57,24.3744,130.57,23.1032,0
Gujarat,Gandhinagar,PMGSY-II,3,0,3,0,0,0,25.9,15.2805,25.725,7.7274,0
Gujarat,"Gir Somnath",PMGSY-III,4,0,4,0,0,0,36.421,24.52559,34.001,22.4871,0
Gujarat,Jamnagar,PMGSY-II,5,0,5,0,0,0,56.6,31.8873,56.2,22.6223,0
Gujarat,Junagadh,PMGSY-II,2,0,2,0,0,0,18.1,7.4665,18.1,5.7157,0
Gujarat,Mahisagar,PMGSY-II,2,2,2,2,0,0,31.4,22.6813,30.63,17.9586,0
Gujarat,Mehsana,PMGSY-I,67,0,67,0,0,0,131.01,23.2268,131.01,22.0738,0
Gujarat,Morbi,PMGSY-I,42,0,42,0,0,0,98.4,12.2879,96.47,13.2127,0
Gujarat,Narmada,PMGSY-I,74,3,74,3,0,0,271.39,78.4196,271.07,85.5156,0
Gujarat,Sabarkantha,PMGSY-III,11,4,11,1,0,3,122.718,85.35459,121.905,64.8563,0
Gujarat,Surat,PMGSY-II,6,3,6,3,0,0,53.89,34.6008,53.89,30.3906,0
Gujarat,Surendranagar,PMGSY-II,4,0,4,0,0,0,48.55,15.0042,48.65,12.7691,0
Gujarat,Tapi,PMGSY-I,189,2,189,2,0,0,460.005,161.0557,459.807,167.5964,0
Haryana,Bhiwani,PMGSY-III,19,0,19,0,0,0,216.161,80.12683,214.033,78.5132,0
Haryana,"Charkhi Dadri",PMGSY-III,12,0,12,0,0,0,116.675,66.86323,115.215,56.4042,0
Haryana,Fatehabad,PMGSY-I,18,0,18,0,0,0,205.46,67.7108,205.342,59.351,0
Haryana,Jhajjar,PMGSY-III,16,0,14,0,2,0,97.235,57.8236,90.952,39.7759,3.48
Haryana,Karnal,PMGSY-I,21,0,21,0,0,0,185.7,68.9537,185.5,62.4072,0
Haryana,Kurukshetra,PMGSY-II,5,0,5,0,0,0,42.44,28.9366,42.19,25.391,0
Haryana,Mohindergarh,PMGSY-III,8,0,8,0,0,0,75.98,30.9324,75.395,22.0284,0
Haryana,Rewari,PMGSY-III,2,0,2,0,0,0,16.78,11.37276,16.78,7.8216,0
Haryana,Sonepat,PMGSY-I,20,0,20,0,0,0,209.625,82.9402,210.285,78.7516,0
Haryana,Sonepat,PMGSY-II,11,4,11,4,0,0,151.585,137.3145,145.967,124.7443,0
Haryana,Sonepat,PMGSY-III,14,0,14,0,0,0,130.849,61.02902,128.771,56.2293,0
Haryana,"Yamuna Nagar",PMGSY-I,16,0,16,0,0,0,192.87,66.2875,192.87,66.1965,0
"Himachal Pradesh",Bilaspur,PMGSY-III,19,0,0,0,19,0,184.615,170.96884,0,13.8681,184.615
"Himachal Pradesh",Chamba,PMGSY-I,341,14,334,11,7,3,2046.815,889.82753,1987.928,825.3655,20.635
"Himachal Pradesh",Chamba,PMGSY-III,23,1,2,0,21,1,222.726,247.27611,62.16,71.9845,160.566
"Himachal Pradesh",Kangra,PMGSY-II,24,0,24,0,0,0,234.39,156.6955,234.025,151.5347,0
"Himachal Pradesh",Kullu,PMGSY-II,6,0,6,0,0,0,101.84,82.8783,101.24,75.1167,0
"Himachal Pradesh",Kullu,PMGSY-III,21,1,2,0,19,1,206.44,200.7191,91.194,82.7317,114.981
"Himachal Pradesh","Lahul And Spiti",PMGSY-III,10,0,0,0,10,0,114.063,119.82945,0,23.1289,114.063
"Himachal Pradesh",Sirmaur,PMGSY-III,23,0,2,0,21,0,292.28,246.77044,44.93,55.1931,247.35
"Himachal Pradesh",Una,PMGSY-III,19,11,0,0,19,11,159.19,243.631,0,11.8904,159.19
"Jammu And Kashmir",Anantnag,PMGSY-I,292,2,292,2,0,0,1006.53,725.3599,952.225,672.3911,0
"Jammu And Kashmir",Baramula,PMGSY-II,14,0,13,0,1,0,87.95,110.6091,86.976,81.0943,0.4
"Jammu And Kashmir",Budgam,PMGSY-I,150,4,150,3,0,1,600.65,453.9842,583.66,431.4062,0
"Jammu And Kashmir",Kupwara,PMGSY-I,162,9,162,9,0,0,765.43,561.5127,744.819,522.9285,0
"Jammu And Kashmir",Pulwama,PMGSY-II,3,0,3,0,0,0,21,25.1151,21.183,20.2375,0
"Jammu And Kashmir",Rajouri,PMGSY-III,17,4,5,1,12,3,167.95,235.0394,105.25,109.7539,62.7
"Jammu And Kashmir",Samba,PMGSY-I,65,4,65,4,0,0,256.779,143.4863,250.064,125.0254,0
"Jammu And Kashmir",Srinagar,PMGSY-I,21,0,21,0,0,0,69.23,32.3496,61.2,26.7774,0
Jharkhand,Chatra,RCPLWEA,17,8,12,6,5,2,179.71,152.96067,139.455,109.2739,40.43
Jharkhand,Dhanbad,RCPLWEA,16,0,14,0,2,0,31.401,24.432,29.063,20.7258,2.338
Jharkhand,Giridih,RCPLWEA,27,15,22,13,5,2,137.608,130.42188,108.7,106.2438,28.605
Jharkhand,Gumla,RCPLWEA,17,30,11,26,6,4,264.96,296.89745,231.55,267.6384,33.44
Jharkhand,Hazaribagh,PMGSY-I,417,24,417,23,0,1,1448.699,533.36559,1429.078,461.3652,0
Jharkhand,Khunti,PMGSY-I,329,14,329,14,0,0,1049.613,427.59383,1023.256,403.7562,0
Jharkhand,Lohardaga,PMGSY-I,122,8,122,8,0,0,532.271,184.77132,518.791,183.4775,0
Jharkhand,Lohardaga,PMGSY-II,4,0,4,0,0,0,28.9,14.44132,28.9,9.9162,0
Jharkhand,Palamu,PMGSY-I,441,92,434,91,7,1,1579.692,661.90943,1521.767,609.9427,25.06
Jharkhand,Palamu,PMGSY-II,9,0,9,0,0,0,92.99,67.2765,93.32,60.9392,0
Jharkhand,"Purbi Singhbhum",PMGSY-II,9,0,9,0,0,0,86.175,55.34982,85.446,43.243,0
Jharkhand,Ramgarh,PMGSY-III,9,3,0,0,9,3,66.747,47.60234,11.119,20.563,55.628
Jharkhand,Ranchi,PMGSY-I,403,12,402,12,1,0,1134.065,446.65972,1111.493,392.1997,0
Jharkhand,Ranchi,PMGSY-II,10,0,10,0,0,0,113.575,70.3437,112.405,56.6188,0
Jharkhand,Sahibganj,PMGSY-I,119,1,119,1,0,0,449.62,177.78706,428.877,155.8556,0
Jharkhand,Sahibganj,PMGSY-II,8,0,8,0,0,0,56.4,38.0902,56.4,34.1855,0
Karnataka,Bagalkot,PMGSY-III,34,12,28,12,6,0,208.76,130.58325,198.524,128.4651,7.46
Karnataka,"Bangalore R",PMGSY-III,16,0,16,0,0,0,105.25,63.27428,101.89,58.5513,0
Karnataka,Belgaum,PMGSY-III,52,1,49,1,3,0,360.327,219.20854,339.297,199.4566,10.307
Karnataka,Bellary,PMGSY-I,103,6,103,6,0,0,613.73,117.3064,613.73,125.0896,0
Karnataka,Bijapur,PMGSY-I,98,0,98,0,0,0,575.32,120.587,575.32,127.2759,0
Karnataka,Chamarajanagar,PMGSY-III,17,0,17,0,0,0,111.285,57.26696,108.93,56.9493,0
Karnataka,Chickmagalur,PMGSY-I,118,1,118,1,0,0,572.31,122.8202,572.31,139.3843,0
Karnataka,"Dakshina Kannada",PMGSY-I,138,2,138,2,0,0,534.93,163.3416,534.93,208.7448,0
Karnataka,"Dakshina Kannada",PM-JANMAN,2,1,0,0,2,1,5.75,7.8075,0,0,5.75
Karnataka,Dharwad,PMGSY-II,8,0,8,0,0,0,58.47,26.9067,56.54,26.3361,0
Karnataka,Gadag,PMGSY-III,21,17,21,16,0,1,167.28,117.99868,162.266,124.07,0
Karnataka,Hassan,PMGSY-I,199,0,199,0,0,0,628.11,129.815,628.46,145.1988,0
Karnataka,Haveri,PMGSY-III,26,4,21,3,5,1,213.83,149.84251,191.149,116.1308,16.445
Karnataka,Kodagu,PMGSY-I,46,1,46,1,0,0,169.9,42.7033,169.9,50.2141,0
Karnataka,Koppal,PMGSY-II,7,0,7,0,0,0,70.2,21.3982,70.195,18.6394,0
Karnataka,Mysore,PMGSY-II,16,0,16,0,0,0,100.12,48.3633,117.13,48.7997,0
Karnataka,Mysore,PMGSY-III,34,2,30,2,4,0,205.611,135.56569,193.371,132.4322,9.195
Karnataka,Mysore,PM-JANMAN,16,1,0,0,16,1,33.405,26.77325,0,0,33.405
Karnataka,Shimoga,PMGSY-I,169,0,169,0,0,0,735.48,159.3763,735.635,189.7799,0
Karnataka,Udupi,PMGSY-III,24,7,24,7,0,0,148.502,137.2723,145.275,141.9198,0
Karnataka,Udupi,PM-JANMAN,5,0,0,0,5,0,5.831,5.3238,0,0,5.831
Kerala,Alappuzha,PMGSY-II,11,0,9,0,2,0,25.124,18.12222,20.102,11.6237,4.96
Kerala,Idukki,PMGSY-II,12,0,11,0,1,0,58.557,52.115,58.06,43.2253,0.45
Kerala,Kannur,PMGSY-I,131,0,131,0,0,0,367.308,156.0058,365.138,194.083,0
Kerala,Kollam,PMGSY-I,78,0,78,0,0,0,166.137,64.0191,165.962,67.8229,0
Kerala,Kottayam,PMGSY-III,23,1,6,0,17,1,101.052,87.39754,35.945,28.5073,65.076
Kerala,Palakkad,PMGSY-I,85,0,84,0,1,0,277.88,163.3612,267.416,171.2763,3.77
Kerala,Pathanamthitta,PMGSY-III,11,0,0,0,11,0,45.753,34.4459,12.817,9.016,32.936
Kerala,Thiruvananthapuram,PMGSY-III,23,1,7,0,16,1,114.005,94.07263,51.562,37.2313,61.154
"Madhya Pradesh",Agar,PMGSY-I,211,9,211,9,0,0,783.07,288.8866,772.568,255.4793,0
"Madhya Pradesh","Ashok Nagar",PMGSY-I,258,5,258,4,0,1,969.985,350.8048,922.727,327.4758,0
"Madhya Pradesh",Barwani,PMGSY-III,34,22,28,16,6,6,264.127,208.16833,250.358,140.9308,12.79
"Madhya Pradesh",Betul,PMGSY-III,35,26,26,7,9,19,378.413,351.13862,360.987,218.6517,9.338
"Madhya Pradesh",Bhind,PMGSY-I,425,1,425,1,0,0,1392.868,399.4797,1364.16,354.1227,0
"Madhya Pradesh",Chhindwara,PM-JANMAN,21,0,0,0,21,0,92.8,71.7747,0,0,92.8
"Madhya Pradesh",Harda,PMGSY-I,128,14,128,14,0,0,728.87,237.52875,663.859,251.2175,0
"Madhya Pradesh",Hoshangabad,PMGSY-II,11,3,11,3,0,0,107.129,83.76794,106.112,83.6187,0
"Madhya Pradesh",Jabalpur,PMGSY-I,298,14,298,12,0,2,1038.875,365.25971,988.98,356.2721,0
"Madhya Pradesh",Katni,PMGSY-II,7,2,7,2,0,0,85.295,49.5771,83.757,42.2851,0
"Madhya Pradesh",Khandwa,PMGSY-III,27,33,13,18,14,15,272.342,229.7278,193.246,103.62,77.662
"Madhya Pradesh",Morena,PM-JANMAN,2,0,0,0,2,0,3.6,2.69933,0,0,3.6
"Madhya Pradesh",Narsinghpur,PMGSY-I,325,12,324,12,1,0,1197.735,416.42779,1127.469,402.8182,13.1
"Madhya Pradesh",Neemuch,PMGSY-I,150,0,150,0,0,0,710.495,201.2118,698.652,182.7586,0
"Madhya Pradesh",Raisen,PMGSY-III,30,17,22,11,8,6,276.24,242.95341,263.826,160.5165,12.119
"Madhya Pradesh",Sagar,PMGSY-I,519,24,519,22,0,2,1912.948,638.57422,1853.515,573.6503,0
"Madhya Pradesh",Sagar,PMGSY-III,35,32,31,14,4,18,456.143,441.51278,423.227,314.9074,23.545
"Madhya Pradesh",Satna,PMGSY-I,444,8,444,8,0,0,1619.75,432.2147,1564.418,385.1144,0
"Madhya Pradesh",Satna,PMGSY-III,28,15,27,12,1,3,306.177,202.12398,296.371,150.5991,5
"Madhya Pradesh",Sehore,PMGSY-I,361,11,361,11,0,0,1568.35,497.53073,1503.002,510.6599,0
"Madhya Pradesh",Shahdol,PMGSY-II,4,0,4,0,0,0,77.265,48.40597,77.335,41.6618,0
"Madhya Pradesh",Sheopur,PMGSY-I,182,16,182,16,0,0,879.03,287.03007,845.528,254.7874,0
"Madhya Pradesh",Sheopur,PMGSY-II,3,24,3,24,0,0,61.2,75.27924,60.62,73.4555,0
"Madhya Pradesh",Sheopur,PMGSY-III,15,18,13,16,2,2,162.54,159.64219,154.469,113.2699,6.19
"Madhya Pradesh",Sidhi,PM-JANMAN,44,0,0,0,44,0,145.839,106.8566,0.589,0,145.25
"Madhya Pradesh",Ujjain,PMGSY-II,11,4,11,4,0,0,123.983,85.20652,118.528,72.5698,0
"Madhya Pradesh",Vidisha,PMGSY-I,369,4,369,4,0,0,1416.114,443.6099,1377.771,389.903,0
"Madhya Pradesh",Vidisha,PMGSY-II,8,12,8,12,0,0,143.085,120.83913,142.462,104.2672,0
Maharashtra,Akola,PMGSY-II,5,5,5,5,0,0,43.2,32.0056,43.2,31.216,0
Maharashtra,Akola,PMGSY-III,10,0,9,0,1,0,116.01,97.90609,110.81,110.3408,5.2
Maharashtra,Amrawati,PMGSY-I,124,26,124,26,0,0,591.53,137.9873,578.33,136.3922,0
Maharashtra,Beed,PMGSY-I,225,31,225,31,0,0,854.19,172.0928,845.04,176.1568,0
Maharashtra,Beed,PMGSY-II,12,9,12,9,0,0,101.72,68.0453,99.534,63.0521,0
Maharashtra,Bhandara,PMGSY-II,10,0,10,0,0,0,66.61,36.1044,65.785,32.312,0
Maharashtra,Bhandara,PMGSY-III,24,1,19,0,5,1,148.61,112.12138,133.937,79.7668,12.182
Maharashtra,Buldhana,PMGSY-II,6,2,6,2,0,0,46.25,24.2478,46.25,22.1955,0
Maharashtra,Dhule,PMGSY-III,13,7,1,0,12,7,125.075,110.2362,17.36,45.2981,102.725
Maharashtra,Jalgaon,PMGSY-III,29,2,2,0,27,2,196.65,160.343,36.46,57.9683,160.03
Maharashtra,Jalna,PMGSY-II,9,4,9,4,0,0,49.95,37.4794,49.21,29.9556,0
Maharashtra,Kolhapur,PMGSY-I,140,10,140,9,0,1,584.11,172.3683,579.25,186.1468,0
Maharashtra,Kolhapur,PMGSY-III,39,0,19,0,20,0,196.845,144.25181,108.335,91.4698,88.355
Maharashtra,Nagpur,PMGSY-III,32,19,18,0,14,19,222.805,237.02301,169.81,131.603,52.635
Maharashtra,Nandurbar,PMGSY-III,21,0,5,0,16,0,155.815,102.41629,72.02,53.5744,83.38
Maharashtra,Nashik,PMGSY-III,68,11,21,0,47,11,420.105,339.6342,144.815,164.8731,271.74
Maharashtra,Raigad,PMGSY-I,88,2,88,2,0,0,321.595,115.5063,312.29,128.7003,0
Maharashtra,Sindhudurg,PMGSY-I,133,7,133,7,0,0,472.33,167.5529,462.475,167.7046,0
Maharashtra,Thane,PMGSY-II,4,0,4,0,0,0,31.307,14.1871,31.107,12.2026,0
Maharashtra,Wardha,PMGSY-II,5,2,5,2,0,0,41.95,25.1131,41.95,23.3738,0
Maharashtra,Wardha,PMGSY-III,17,17,16,0,1,17,104.12,112.96683,100.531,69.2768,1.47
Maharashtra,Washim,PMGSY-II,6,1,6,1,0,0,39.38,24.2801,39.38,21.3985,0
Maharashtra,Washim,PMGSY-III,17,8,7,0,10,8,103.935,97.89375,82.185,58.6885,20.745
Manipur,Bishnupur,PMGSY-II,7,0,6,0,1,0,35.57,28.9618,35.37,19.8954,0.3
Meghalaya,"East Garo Hills",PMGSY-II,12,0,10,0,2,0,49.9,37.62681,45.905,38.7953,3.995
Meghalaya,"East Khasi Hills",PMGSY-II,18,0,18,0,0,0,106.012,73.62574,105.915,71.7412,0
Meghalaya,"East Khasi Hills",PMGSY-III,31,4,6,0,25,4,240.852,248.90969,44.974,55.2597,195.878
Meghalaya,Ribhoi,PMGSY-I,129,3,126,3,3,0,557.943,292.3446,544.873,271.0273,10.025
Meghalaya,"West Garo Hills",PMGSY-I,261,38,258,38,3,0,897.868,664.54242,894.964,647.9824,3.772
Meghalaya,"West Garo Hills",PMGSY-II,22,4,21,4,1,0,98.48,98.78554,98.53,93.2918,0
Meghalaya,"West Garo Hills",PMGSY-III,37,16,3,0,34,16,302.909,367.50477,45.39,32.8074,257.524
Mizoram,Mamit,PMGSY-I,29,0,27,0,2,0,329.913,217.0491,297.288,157.6463,29.39
Mizoram,Mamit,PMGSY-II,1,0,1,0,0,0,9.75,9.919,9.75,10.029,0
Mizoram,Saiha,PMGSY-I,41,0,38,0,3,0,638.51,346.0749,629.94,330.6664,5.79
Mizoram,Serchhip,PMGSY-I,31,0,31,0,0,0,459.09,232.1615,457.55,223.6491,0
Nagaland,Peren,PMGSY-III,1,0,0,0,1,0,21.03,17.0424,0,0,21.03
Nagaland,Tseminyu,PMGSY-I,7,2,7,2,0,0,73,23.6553,73,23.9566,0
Nagaland,Tuensang,PMGSY-II,2,1,1,1,1,0,42,43.1822,42,40.2116,0
Nagaland,Wokha,PMGSY-III,4,0,0,0,4,0,63.85,69.5409,0,0,63.85
Nagaland,Zunheboto,PMGSY-I,41,5,41,5,0,0,443.64,118.7847,444,118.6371,0
Odisha,Balangir,PMGSY-II,20,4,20,4,0,0,168.095,63.79086,164.485,53.508,0
Odisha,Balasore,PMGSY-I,702,13,702,13,0,0,2505.605,1122.8988,2350.677,1175.1676,0
Odisha,Bhadrak,PMGSY-II,15,0,15,0,0,0,83.97,38.5552,83.154,36.2075,0
Odisha,Gajapati,PMGSY-I,397,4,396,4,1,0,1718.05,755.39607,1663.909,877.6709,2.5
Odisha,Gajapati,PM-JANMAN,9,1,0,0,9,1,38.05,39.4394,0,0,38.05
Odisha,Ganjam,PMGSY-III,110,16,60,5,50,11,631.133,441.95485,454.514,305.5803,170.868
Odisha,Jharsuguda,PMGSY-I,136,3,136,3,0,0,399.273,127.4554,392.113,119.349,0
Odisha,Jharsuguda,PMGSY-III,30,6,29,4,1,2,147.359,91.1303,142.519,77.7743,2.55
Odisha,Kalahandi,PMGSY-I,747,58,747,58,0,0,3325.484,1409.96473,3150.211,1412.9765,0
Odisha,Kandhamal,PMGSY-III,53,3,48,3,5,0,355.132,205.6077,316.952,178.8827,29.38
Odisha,Kendrapara,PMGSY-III,40,0,27,0,13,0,255.151,150.9246,216.494,118.8277,33.963
Odisha,Keonjhar,PMGSY-I,780,22,780,21,0,1,3149.791,1258.3727,3065.982,1284.7914,0
Odisha,Khurda,PMGSY-I,336,6,336,6,0,0,1104.998,485.3769,1070.264,464.2489,0
Odisha,Khurda,PMGSY-II,18,0,18,0,0,0,117.3,55.0978,120.067,64.3227,0
Odisha,Malkangiri,PMGSY-I,461,40,459,37,2,3,2109.2,872.40848,2067.074,1050.2069,8.01
Odisha,Malkangiri,PMGSY-III,37,4,22,1,15,3,247.285,156.37492,203.21,111.0506,42.295
Odisha,Nuapara,PMGSY-II,8,0,8,0,0,0,59.371,19.6178,59.292,16.837,0
